sort,school,explanatory_variables,response_type,response_variable,model_name,optimal_cutoff,auc,true_positives,false_positives,true_negatives,false_negatives,naive_accuracy,accuracy
1,wgu,base,binary,OnTime_Term1,wgu_base_OnTime_Term1,0.5228922036810956,0.614230482957713,832,336,45,39,0.6956869009584664,0.700479233226837
2,wgu,base,binary,OnTime_Term2,wgu_base_OnTime_Term2,0.524185385573871,0.5805969343696028,11,8,764,469,0.6166134185303515,0.6190095846645367
3,wgu,base,binary,Retained,wgu_base_Retained,0.6177459840148705,0.5695550400600814,952,299,0,1,0.7611821086261981,0.7603833865814696
4,wgu,base,binary,CreditRatio_Term1,wgu_base_CreditRatio_Term1_bin,0.4451636337168015,0.6222863491947843,667,451,88,46,0.5694888178913738,0.603035143769968
5,wgu,base,binary,CreditRatio_Term2,wgu_base_CreditRatio_Term2_bin,0.4454128848612757,0.5908871151653363,7,6,871,368,0.700479233226837,0.7012779552715654
6,wgu,base,continuous,CreditRatio_Term1,wgu_base_CreditRatio_Term1_cts,NA,NA,NA,NA,NA,NA,NA,NA
7,wgu,base,continuous,CreditRatio_Term2,wgu_base_CreditRatio_Term2_cts,NA,NA,NA,NA,NA,NA,NA,NA
8,wgu,daacs,binary,OnTime_Term1,wgu_daacs_OnTime_Term1,0.5640488960434291,0.6967794868041004,821,281,92,58,0.702076677316294,0.7292332268370607
9,wgu,daacs,binary,OnTime_Term2,wgu_daacs_OnTime_Term2,0.4672878997827238,0.6623795346666052,155,127,652,318,0.6222044728434505,0.6445686900958466
10,wgu,daacs,binary,Retained,wgu_daacs_Retained,0.5009330178598426,0.5939460433634163,943,307,1,1,0.7539936102236422,0.7539936102236422
11,wgu,daacs,binary,CreditRatio_Term1,wgu_daacs_CreditRatio_Term1_bin,0.48938214314173295,0.6799584609352648,648,320,186,98,0.5958466453674122,0.6661341853035144
12,wgu,daacs,binary,CreditRatio_Term2,wgu_daacs_CreditRatio_Term2_bin,0.4336438110715067,0.6748610223006813,33,20,861,338,0.7036741214057508,0.7140575079872205
13,wgu,daacs,continuous,CreditRatio_Term1,wgu_daacs_CreditRatio_Term1_cts,NA,NA,NA,NA,NA,NA,NA,NA
14,wgu,daacs,continuous,CreditRatio_Term2,wgu_daacs_CreditRatio_Term2_cts,NA,NA,NA,NA,NA,NA,NA,NA
15,ec,base,binary,SuccessTerm1,ec_base_SuccessTerm1,0.4736649365152951,0.6364029606844179,404,101,2,0,0.796844181459566,0.8007889546351085
16,ec,base,binary,SuccessTerm2,ec_base_SuccessTerm2,0.49602435664162314,0.5794153433375971,198,149,92,68,0.52465483234714,0.571992110453649
17,ec,base,binary,Retained,ec_base_Retained,0.5070348830485992,0.5896296296296296,285,186,21,15,0.591715976331361,0.6035502958579881
18,ec,base,binary,CreditRatio_Term1,ec_base_CreditRatio_Term1_bin,0.5839701167143638,0.6343893714869698,409,89,6,3,0.8126232741617357,0.8185404339250493
19,ec,base,binary,CreditRatio_Term2,ec_base_CreditRatio_Term2_bin,0.5254832709497737,0.5946526394422311,140,103,153,111,0.504930966469428,0.5779092702169625
20,ec,base,continuous,CreditRatio_Term1,ec_base_CreditRatio_Term1_cts,NA,NA,NA,NA,NA,NA,NA,NA
21,ec,base,continuous,CreditRatio_Term2,ec_base_CreditRatio_Term2_cts,NA,NA,NA,NA,NA,NA,NA,NA
22,ec,daacs,binary,SuccessTerm1,ec_daacs_SuccessTerm1,0.6299473099517489,0.5578454332552694,121,32,3,1,0.7770700636942676,0.7898089171974523
23,ec,daacs,binary,SuccessTerm2,ec_daacs_SuccessTerm2,0.45609441552409263,0.5826173165895572,73,45,23,16,0.5668789808917197,0.6114649681528662
24,ec,daacs,binary,Retained,ec_daacs_Retained,0.4180950690994673,0.5627450980392157,102,54,1,0,0.6496815286624203,0.6560509554140127
25,ec,daacs,binary,CreditRatio_Term1,ec_daacs_CreditRatio_Term1_bin,0.7362236475945265,0.5111111111111111,128,26,1,2,0.8280254777070064,0.821656050955414
26,ec,daacs,binary,CreditRatio_Term2,ec_daacs_CreditRatio_Term2_bin,0.39816271474336623,0.5521145521145521,89,62,4,2,0.5796178343949044,0.5923566878980892
27,ec,daacs,continuous,CreditRatio_Term1,ec_daacs_CreditRatio_Term1_cts,NA,NA,NA,NA,NA,NA,NA,NA
28,ec,daacs,continuous,CreditRatio_Term2,ec_daacs_CreditRatio_Term2_cts,NA,NA,NA,NA,NA,NA,NA,NA
